source_file,row_id,caption_original,price,category,has_link,contains_renew,mentions_tip
ALLTIME_MASS_MESSAGE_STATS - MASS.MESSAGE.STATS(has data for inactive girls).csv,5670,If you like to have $999 of my content for only $30? Click [enter link here] I'll send it to you RIGHT NOW 😈🔥 𝙷𝚄𝚁𝚁𝚈 𝚄𝙿‼️⏰,0.0,Link drop,True,False,False
ALLTIME_MASS_MESSAGE_STATS - MASS.MESSAGE.STATS(has data for inactive girls).csv,5696,"Hey babe, hope u wont miss this: [enter link here]",0.0,Link drop,True,False,False
ALLTIME_MASS_MESSAGE_STATS - MASS.MESSAGE.STATS(has data for inactive girls).csv,5727,"Hey babe, hope u didnt miss this: [enter link here] Check this out and lmk what u think ;)",0.0,Link drop,True,False,False
ALLTIME_MASS_MESSAGE_STATS - MASS.MESSAGE.STATS(has data for inactive girls).csv,5909,Hey babe hope u don´t miss this: [enter link here] Valentine´s nite it´s gonna be awesome for both of us ❤️ hope u´ll be the winner ❤️,0.0,Link drop,True,False,False
ALLTIME_MASS_MESSAGE_STATS - MASS.MESSAGE.STATS(has data for inactive girls).csv,5920,Hey babe hope u don´t miss this: [enter link here] Valentine´s nite it´s gonna be awesome for both of us ❤️ hope u´ll be the winner ❤️,0.0,Link drop,True,False,False
ALLTIME_MASS_MESSAGE_STATS - MASS.MESSAGE.STATS(has data for inactive girls).csv,5926,The winner picked in 2 hours!!! ♥️♥️♥️ click right here 👇🏼👇🏼 [enter link here],0.0,Link drop,True,False,False
ALLTIME_MASS_MESSAGE_STATS - MASS.MESSAGE.STATS(has data for inactive girls).csv,7091,Do you want my panties baby? 😏[enter link here],0.0,Link drop,True,False,False
ALLTIME_MASS_MESSAGE_STATS - MASS.MESSAGE.STATS(has data for inactive girls).csv,7092,you in? 😏 [enter link here],0.0,Link drop,True,False,False
ALLTIME_MASS_MESSAGE_STATS - MASS.MESSAGE.STATS(has data for inactive girls).csv,7108,JUST BECAUSE IT'S MY BIRTHDAY! And I want to spoil you!! [enter link here] I opened 4 more spots!! don't miss that big treat for your dick! 🍭,0.0,Link drop,True,False,False
ALLTIME_MASS_MESSAGE_STATS - MASS.MESSAGE.STATS(has data for inactive girls).csv,7110,Last spot for this juicy bundle! 🤤 [enter link here],0.0,Link drop,True,False,False
ALLTIME_MASS_MESSAGE_STATS - MASS.MESSAGE.STATS(has data for inactive girls).csv,7133,Can I be your weekend plan? 🥵 Get the last spot right now! 👉 [enter link here],0.0,Link drop,True,False,False
ALLTIME_MASS_MESSAGE_STATS - MASS.MESSAGE.STATS(has data for inactive girls).csv,7157,[enter link here] ONE SPOT LEFT! Cum claim it babe? 🥺,0.0,Link drop,True,False,False
ALLTIME_MASS_MESSAGE_STATS - MASS.MESSAGE.STATS(has data for inactive girls).csv,7187,1 MONTH FREE! 🍑 SPREAD FUCKHOLES MEGA BUNDLE IS HERE 💦 Are u really going to miss it? 👉 [enter link here],0.0,Link drop,True,False,False
ALLTIME_MASS_MESSAGE_STATS - MASS.MESSAGE.STATS(has data for inactive girls).csv,7192,ARE YOU A REAL ASS LOVER? 😏 [enter link here],0.0,Link drop,True,False,False
ALLTIME_MASS_MESSAGE_STATS - MASS.MESSAGE.STATS(has data for inactive girls).csv,7249,💲500 worth of NEW EXPLICIT content just for u 😈😳 What are u waiting for to get it? 👉 [enter link here],0.0,Link drop,True,False,False
ALLTIME_MASS_MESSAGE_STATS - MASS.MESSAGE.STATS(has data for inactive girls).csv,7265,SPREAD FUCKHOLES MEGA BUNDLE IS HERE 🍑 Wanna bury your face between my juicy cheeks now? 😈 What are u waiting for to get the last spot? 👉 [enter link here],0.0,Link drop,True,False,False
ALLTIME_MASS_MESSAGE_STATS - MASS.MESSAGE.STATS(has data for inactive girls).csv,7447,im deleting this video later tonight 🫢 trust me ur not gonna wanna miss out on this one 👉🏻 [enter link here] we need someone to film with us ASAP 😈 we are picking a lucky person that unlocks this video tonight,0.0,Link drop,True,False,False
