source_file,row_id,caption_original,price,category,has_link,contains_renew,mentions_tip
ALLTIME_MASS_MESSAGE_STATS - MASS.MESSAGE.STATS(has data for inactive girls).csv,525,🎁 it’s REBILL time 🎁 I’m sending ***2 FREE videos*** to everyone who has their ***REBILL / RENEW turned ON*** tomorrow 🥳 So make sure to have it ON ❤️,0.0,Renew campaign captions,False,True,False
ALLTIME_MASS_MESSAGE_STATS - MASS.MESSAGE.STATS(has data for inactive girls).csv,603,🚨 sending these 2 full videos for FREE to everyone who has their REBILL / RENEW turned ON🚨 CK set pillow humping / JOI ++ oiled up / riding dildo JOI😋 👅💦🍆 So make sure u have your REBILL / RENEW button TURNED ON to receive those 2 videos for FREE (both over 20 minutes) in your inbox on WEDNESDAY ❤️,0.0,Renew campaign captions,False,True,False
ALLTIME_MASS_MESSAGE_STATS - MASS.MESSAGE.STATS(has data for inactive girls).csv,632,🎁 make sure to have your REBILL / RENEW turned ON 🎁 i'm sending 3 FREE VIDEOS to everyone who has their REBILL / RENEW button turned ON ❤️🥳💦 i'm sending them NEXT WEEKEND (april 26) ...so you have a full week to make sure yours is TURNED ON 😘 *one of the 3 videos will be the full length version of that pink hood clip 👅,0.0,Renew campaign captions,False,True,False
ALLTIME_MASS_MESSAGE_STATS - MASS.MESSAGE.STATS(has data for inactive girls).csv,643,🚨Hey baby don’t forget to TURN ON Your auto renew (rebill) this month if you want to receive a NEW UNRELEASED FREE VIDEO this weekend 🚨,0.0,Renew campaign captions,False,True,False
ALLTIME_MASS_MESSAGE_STATS - MASS.MESSAGE.STATS(has data for inactive girls).csv,647,Ur rebill/renew is still turned off I see.. you should definitely turn it on now before I send out 3 free BG videos 🥵just saying.. your missing out.,0.0,Renew campaign captions,False,True,False
ALLTIME_MASS_MESSAGE_STATS - MASS.MESSAGE.STATS(has data for inactive girls).csv,675,🚨 TURN ON your REBILL / RENEW buttons 🚨 i will be sending 2 NEW and FREE videos to everyone who has their REBILL / RENEW turned ON ...ill send this weekend so better turn ON now 🥳,0.0,Renew campaign captions,False,True,False
ALLTIME_MASS_MESSAGE_STATS - MASS.MESSAGE.STATS(has data for inactive girls).csv,1109,If you turn renew on everyday you leave it on I'll send you a naughtier and naughtier pic for free🍒,0.0,Renew campaign captions,False,True,False
ALLTIME_MASS_MESSAGE_STATS - MASS.MESSAGE.STATS(has data for inactive girls).csv,1112,Turn ***renew*** on right **now** and Ill send you something that will make you cum 🍑,0.0,Renew campaign captions,False,True,False
ALLTIME_MASS_MESSAGE_STATS - MASS.MESSAGE.STATS(has data for inactive girls).csv,1123,Keep renew on so I can send you one of these everyday🥰,0.0,Renew campaign captions,False,True,False
ALLTIME_MASS_MESSAGE_STATS - MASS.MESSAGE.STATS(has data for inactive girls).csv,1137,Day 3 of spoiling you for having renew on💋,0.0,Renew campaign captions,False,True,False
ALLTIME_MASS_MESSAGE_STATS - MASS.MESSAGE.STATS(has data for inactive girls).csv,1140,I'm going to be banning everyone with renew off at the end of the day🥺🙈 You really want to miss seeing this perfect body I've been working on for you baby,0.0,Renew campaign captions,False,True,False
ALLTIME_MASS_MESSAGE_STATS - MASS.MESSAGE.STATS(has data for inactive girls).csv,1176,What should I make for you today🥺 I'm only taking your request if renew is on💋,0.0,Renew campaign captions,False,True,False
ALLTIME_MASS_MESSAGE_STATS - MASS.MESSAGE.STATS(has data for inactive girls).csv,1177,Turn renew on and get a free surprise like this every day 😘,0.0,Renew campaign captions,False,True,False
ALLTIME_MASS_MESSAGE_STATS - MASS.MESSAGE.STATS(has data for inactive girls).csv,1181,btw... Yes I do B/G content💋 But I need to know I can trust you before I can show you that side of me😈 I need you to turn renew on and be a sub for 3 months 👩‍❤️‍💋‍👩 so I know you're really here for me.. after the 3 months I can send you my ***FIRST*** B/G from when I was 🔞***18 years***🔞 old getting fucked *doggy style* We can get naughty all along the way too 🥵 I'll make sure we spend time every day getting know each other better🙈,0.0,Renew campaign captions,False,True,False
ALLTIME_MASS_MESSAGE_STATS - MASS.MESSAGE.STATS(has data for inactive girls).csv,1195,Turn renew on today and I’ll send you some of the content I took today 🥰,0.0,Renew campaign captions,False,True,False
ALLTIME_MASS_MESSAGE_STATS - MASS.MESSAGE.STATS(has data for inactive girls).csv,1252,"Hey babe❤️ I want to let you know my VIP group is going to go through big changes in the next week for all the new fans coming on my page. I am going to honor our deal of 20$/month to chat every day as long as you renew it every month! But as soon as you will stop renewing it, this deal will be over and if you want to join the VIP again, it will be with the new one. Just want to let you know 💋💋",0.0,Renew campaign captions,False,True,False
ALLTIME_MASS_MESSAGE_STATS - MASS.MESSAGE.STATS(has data for inactive girls).csv,7182,"A juicy nude as a gift for having your renewal on, keep it that way and prepare yourself for more delicious treats 🔥",0.0,Renew campaign captions,False,True,False
ALLTIME_MASS_MESSAGE_STATS - MASS.MESSAGE.STATS(has data for inactive girls).csv,7183,Want the full explicit one? Get your renewal on for naked freebies 🔥,0.0,Renew campaign captions,False,True,False
ALLTIME_MASS_MESSAGE_STATS - MASS.MESSAGE.STATS(has data for inactive girls).csv,7586,"Btw, if you turn your renew on or re-subscribe to my account and then mention this token to me you can get some free pics and naughty messages 💕😏",0.0,Renew campaign captions,False,True,False
ALLTIME_MASS_MESSAGE_STATS - MASS.MESSAGE.STATS(has data for inactive girls).csv,7878,Sending a ***FREE SURPRISE to EVERYONE WITH RENEW ON*** tomorrow 😇🥰 Make sure you have **RENEW ON** to get it https://onlyfans.com/ ?enable_renew=1,0.0,Renew campaign captions,True,True,False
ALLTIME_MASS_MESSAGE_STATS - MASS.MESSAGE.STATS(has data for inactive girls).csv,8090,## **WANT** ***FREE*** **DAILY BUNDLES?? 👀** ### If **YES** then turn your renew on right now!!! #### I send ALL my renew on subs DAILY FREE XXX NUDES 😈🙈 i love spoiling you for Treating me like a princess ❤️ click the link below to turn renew on ⬇️ https://onlyfans.com/ ?enable_renew=1,0.0,Renew campaign captions,True,True,False
ALLTIME_MASS_MESSAGE_STATS - MASS.MESSAGE.STATS(has data for inactive girls).csv,8128,## 😈😽 ***𝐅𝐑𝐄𝐄*** 𝐓𝐀𝐏𝐄 🙈💦 **𝘓𝘐𝘔𝘐𝘛𝘌𝘋 𝘖𝘍𝘍𝘌𝘙** 😱 if you want to be sent a *VIDEO* tonight for ***FREE*** 😱 I am sending it out to **EVERYONE with renew on for free...** don't miss out! 👇🏼 https://onlyfans.com/ ?enable_renew=1,0.0,Renew campaign captions,True,True,False
ALLTIME_MASS_MESSAGE_STATS - MASS.MESSAGE.STATS(has data for inactive girls).csv,8155,### FREE DOGGYSTYLE BUNDLE 🔞 I am sending a **FREE DOGGYSTYLE BUNDLE** to everyone with renew on tonight 📆 make sure you have your renew on if you want **DAILY FREE SURPRISES** 😈 click the link below to turn renew on NOW 👇🏼 https://onlyfans.com/ ?enable_renew=1,0.0,Renew campaign captions,True,True,False
ALLTIME_MASS_MESSAGE_STATS - MASS.MESSAGE.STATS(has data for inactive girls).csv,8253,### 🧻 𝐅𝐑𝐄𝐄 𝐂𝐔𝐌 𝐁𝐔𝐍𝐃𝐋𝐄🧻 I am sending out a **𝙁𝙍𝙀𝙀 𝘾𝙐𝙈 𝘽𝙐𝙉𝘿𝙇𝙀** to all of my renew on subs in the morning 🌤️ so that you can wake up with your **𝙈𝙊𝙍𝙉𝙄𝙉𝙂 𝙒𝙊𝙊𝘿** satisfied 😇 **𝙘𝙡𝙞𝙘𝙠 𝙩𝙝𝙚 𝙡𝙞𝙣𝙠 𝙗𝙚𝙡𝙤𝙬 𝙩𝙤 𝙩𝙪𝙧𝙣 𝙧𝙚𝙣𝙚𝙬 𝙤𝙣** ⬇️ https://onlyfans.com/ ?enable_renew=1,0.0,Renew campaign captions,True,True,False
ALLTIME_MASS_MESSAGE_STATS - MASS.MESSAGE.STATS(has data for inactive girls).csv,8267,🆓🍑 **𝗙𝗥𝗘𝗘 𝗔𝗦𝗦 𝗕𝗨𝗡𝗗𝗟𝗘** 🍑🆓 I am sending out a **𝗙𝗥𝗘𝗘 𝗔𝗦𝗦 𝗕𝗨𝗡𝗗𝗟𝗘** to everyone who has their renew turned 𝐎𝐍 ✅ I love spoiling my renew on subs with **𝐃𝐀𝐈𝐋𝐘 𝐅𝐑𝐄𝐄 𝐁𝐔𝐍𝐃𝐋𝐄𝐒** 🎁 **𝗖𝗟𝗜𝗖𝗞 𝗧𝗛𝗘 𝗟𝗜𝗡𝗞 𝗕𝗘𝗟𝗢𝗪 𝗧𝗢 𝗧𝗨𝗥𝗡 𝗥𝗘𝗡𝗘𝗪 𝗢𝗡 𝗥𝗡** 👇🏼 https://onlyfans.com/ ?enable_renew=1,0.0,Renew campaign captions,True,True,False
ALLTIME_MASS_MESSAGE_STATS - MASS.MESSAGE.STATS(has data for inactive girls).csv,8453,hello! I hope you have a great weekend! Let me know if youre missing your new sub free selfie! also remember if you renew your subscription ill send you a free 10 second video with ur name on my tits! let me know if youre interested in custom content! i love making personalized content for u guys :) rate is 12 dlls per min!,0.0,Renew campaign captions,False,True,False
ALLTIME_MASS_MESSAGE_STATS - MASS.MESSAGE.STATS(has data for inactive girls).csv,8455,Hello! Hope you're having a great week! Ill be sending pending customs and free selfies and renew vids tmrrow!,0.0,Renew campaign captions,False,True,False
ALLTIME_MASS_MESSAGE_STATS - MASS.MESSAGE.STATS(has data for inactive girls).csv,8456,Hi guys! Hope you have a great weekend! Will be sending brand new ppvs this weekend! Also ill be having a custom content discount! 3 min videos for 25 dlls ! Make me your own little slut! Let me know if i havent sent u a new sub selfie! Also remember if you renew your subscription ill send u a free 10 sec video with your name on my body!,0.0,Renew campaign captions,False,True,False
ALLTIME_MASS_MESSAGE_STATS - MASS.MESSAGE.STATS(has data for inactive girls).csv,8457,Hii will be sending pending selfies and customs tomorrow night! Send me a message if u owe you something! Please send me the name u want written on me for the free new sub selfies or free renew vids :),0.0,Renew campaign captions,False,True,False
